    PID TTY          TIME CMD
    164 ?        00:00:00 scsi_eh_5
    166 ?        00:00:00 scsi_eh_6
    168 ?        00:00:00 scsi_eh_7
    170 ?        00:00:00 scsi_eh_8
    172 ?        00:00:00 scsi_eh_9
   4665 ?        00:00:00 sd_espeak-ng-mb
   1578 ?        00:00:00 (sd-pam)
   8914 ?        00:00:17 firefox
   9142 ?        00:00:00 WebExtensions
   9167 ?        00:00:01 Privileged Cont
   9679 ?        00:00:03 Isolated Web Co
   9680 ?        00:00:00 Web Content
   9713 ?        00:00:00 Web Content
   9780 ?        00:00:00 Web Content
   9124 ?        00:00:00 Socket Process
   9523 ?        00:00:00 Utility Process
   5766 ?        00:00:15 snapd
   2254 ?        00:00:00 snapd-desktop-i
   2306 ?        00:00:00 snapd-desktop-i
   1823 ?        00:00:00 dbus-daemon
   1604 ?        00:00:03 dbus-daemon
   2344 ?        00:00:00 gjs
   1902 ?        00:00:00 gjs
   1605 ?        00:00:00 gnome-keyring-d
   1806 ?        00:18:59 gnome-shell
   1917 ?        00:00:08 ibus-daemon
   5581 ?        00:00:04 nautilus
   1589 ?        00:04:09 pipewire
   1591 ?        00:00:00 pipewire
   1603 ?        00:02:17 pipewire-pulse
   1062 ?        00:00:00 unattended-upgr
   3912 ?        00:00:00 snap
   4637 ?        00:00:00 speech-dispatch
   2559 ?        00:00:00 update-notifier
   1599 ?        00:00:00 wireplumber
   4918 ?        00:00:00 Xwayland
    794 ?        00:00:00 accounts-daemon
   1873 ?        00:00:00 at-spi2-registr
   1807 ?        00:00:00 at-spi-bus-laun
   1262 ?        00:00:00 colord
   2277 ?        00:00:00 dconf-service
   2183 ?        00:00:00 evolution-addre
   2158 ?        00:00:00 evolution-calen
   1954 ?        00:00:00 evolution-alarm
   1900 ?        00:00:00 evolution-sourc
   2681 ?        00:00:03 fwupd
   1739 ?        00:00:00 gcr-ssh-agent
   1653 tty2     00:00:00 gdm-wayland-ses
    766 ?        00:00:00 gnome-remote-de
   1657 tty2     00:00:00 gnome-session-b
   1770 ?        00:00:00 gnome-session-b
   1740 ?        00:00:00 gnome-session-c
   1885 ?        00:00:00 gnome-shell-cal
   8176 ?        00:00:10 gnome-terminal-
   2114 ?        00:00:00 goa-daemon
   2155 ?        00:00:00 goa-identity-se
   1920 ?        00:00:00 gsd-a11y-settin
   1921 ?        00:00:00 gsd-color
   1922 ?        00:00:00 gsd-datetime
   1966 ?        00:00:00 gsd-disk-utilit
   1923 ?        00:00:00 gsd-housekeepin
   1924 ?        00:00:00 gsd-keyboard
   1925 ?        00:00:00 gsd-media-keys
   1930 ?        00:00:00 gsd-power
   2119 ?        00:00:00 gsd-printer
   1935 ?        00:00:00 gsd-print-notif
   1936 ?        00:00:00 gsd-rfkill
   1937 ?        00:00:00 gsd-screensaver
   1938 ?        00:00:00 gsd-sharing
   1939 ?        00:00:00 gsd-smartcard
   1940 ?        00:00:00 gsd-sound
   1941 ?        00:00:00 gsd-wacom
   4923 ?        00:00:00 gsd-xsettings
   2205 ?        00:00:02 gvfs-afc-volume
   1751 ?        00:00:00 gvfsd
   1763 ?        00:00:00 gvfsd-fuse
   2471 ?        00:00:00 gvfsd-metadata
   4982 ?        00:00:00 gvfsd-recent
   2324 ?        00:00:00 gvfsd-trash
   2187 ?        00:00:00 gvfs-goa-volume
   2173 ?        00:00:00 gvfs-gphoto2-vo
   2195 ?        00:00:00 gvfs-mtp-volume
   2160 ?        00:00:00 gvfs-udisks2-vo
   2218 ?        00:00:02 ibus-engine-sim
   2098 ?        00:00:02 ibus-extension-
   2096 ?        00:00:00 ibus-memconf
   2121 ?        00:00:00 ibus-portal
   4946 ?        00:00:00 ibus-x11
   4952 ?        00:00:00 mutter-x11-fram
    771 ?        00:00:00 power-profiles-
   1170 ?        00:00:00 rtkit-daemon
    801 ?        00:00:00 switcheroo-cont
   2345 ?        00:00:01 tracker-miner-f
    819 ?        00:00:01 udisksd
   1299 ?        00:00:05 upowerd
   2384 ?        00:00:00 xdg-desktop-por
   2389 ?        00:00:00 xdg-desktop-por
   2465 ?        00:00:00 xdg-desktop-por
   1640 ?        00:00:00 xdg-document-po
   1644 ?        00:00:00 xdg-permission-
    770 ?        00:00:01 polkitd
   5758 ?        00:00:00 snap-failure
   4676 ?        00:00:01 sd_dummy
   4673 ?        00:00:00 sd_espeak-ng
   4679 ?        00:00:00 sd_openjtalk
   9893 ?        00:00:00 systemd-journal
    784 ?        00:00:00 systemd-logind
    614 ?        00:00:06 systemd-oomd
    619 ?        00:00:02 systemd-resolve
   8269 ?        00:00:00 systemd-timesyn
    426 ?        00:00:01 systemd-udevd
   1569 ?        00:00:03 systemd
    799 ?        00:00:00 cron
   1081 ?        00:00:00 cups-browsed
   1054 ?        00:00:00 cupsd
   1090 ?        00:00:00 gdm3
   1102 ?        00:00:00 kerneloops
   1087 ?        00:00:00 kerneloops
    909 ?        00:00:00 ModemManager
    853 ?        00:00:01 NetworkManager
    836 ?        00:00:00 rsyslogd
    855 ?        00:00:00 wpa_supplicant
     51 ?        00:00:00 watchdogd
